# Time(ns)	Amplitude
0.00 200.22
1.01 199.70
2.02 199.39
3.03 200.09
4.03 199.99
5.04 199.57
6.05 199.91
7.06 199.97
8.07 200.08
9.08 200.27
10.08 200.28
11.09 199.80
12.10 200.13
13.11 199.45
14.12 199.59
15.13 200.41
16.13 200.01
17.14 199.85
18.15 199.93
19.16 199.73
20.17 199.99
21.18 199.61
22.18 199.63
23.19 200.59
24.20 200.18
25.21 199.85
26.22 199.94
27.23 200.37
28.24 199.40
29.24 200.40
30.25 202.26
31.26 206.90
32.27 208.20
33.28 209.03
34.29 209.61
35.29 208.34
36.30 209.74
37.31 211.45
38.32 212.14
39.33 210.92
40.34 210.61
41.34 209.90
42.35 209.76
43.36 208.30
44.37 207.11
45.38 206.22
46.39 205.98
47.39 205.78
48.40 204.60
49.41 204.54
50.42 204.19
51.43 203.71
52.44 203.37
53.45 202.73
54.45 203.05
55.46 202.28
56.47 202.75
57.48 201.75
58.49 201.79
59.50 201.27
60.50 202.67
61.51 207.99
62.52 209.74
63.53 210.35
64.54 209.59
65.55 209.01
66.55 208.87
67.56 208.16
68.57 207.14
69.58 206.21
70.59 205.71
71.60 205.45
72.61 205.37
73.61 204.39
74.62 204.11
75.63 203.81
76.64 203.26
77.65 203.48
78.66 203.68
79.66 209.63
80.67 211.98
81.68 212.75
82.69 212.02
83.70 211.76
84.71 211.43
85.71 210.21
86.72 209.70
87.73 208.32
88.74 207.93
89.75 206.62
90.76 206.25
91.76 205.58
92.77 204.81
93.78 204.13
94.79 203.83
95.80 204.06
96.81 203.50
97.82 203.07
98.82 202.70
99.83 202.67
100.84 202.10
101.85 202.28
102.86 202.45
103.87 202.62
104.87 205.56
105.88 205.69
106.89 205.94
107.90 205.60
108.91 205.91
109.92 205.58
110.92 205.15
111.93 204.05
112.94 203.91
113.95 203.75
114.96 202.81
115.97 202.93
116.97 202.29
117.98 201.93
118.99 202.00
120.00 202.02
