# Time(ns)	Amplitude
0.00 199.86
1.01 200.07
2.02 200.37
3.03 200.16
4.03 199.41
5.04 199.97
6.05 199.77
7.06 199.81
8.07 200.14
9.08 199.61
10.08 199.78
11.09 199.81
12.10 199.60
13.11 201.93
14.12 202.50
15.13 204.25
16.13 203.13
17.14 203.23
18.15 204.19
19.16 202.85
20.17 207.86
21.18 211.78
22.18 213.53
23.19 213.56
24.20 213.12
25.21 212.36
26.22 211.10
27.23 210.38
28.24 209.57
29.24 208.38
30.25 207.93
31.26 206.59
32.27 206.52
33.28 210.61
34.29 211.25
35.29 211.72
36.30 214.38
37.31 215.34
38.32 214.76
39.33 213.77
40.34 213.27
41.34 211.50
42.35 210.40
43.36 209.66
44.37 208.87
45.38 208.00
46.39 207.19
47.39 206.74
48.40 205.80
49.41 205.73
50.42 205.39
51.43 204.73
52.44 204.33
53.45 204.28
54.45 203.40
55.46 203.02
56.47 202.88
57.48 202.85
58.49 202.13
59.50 201.71
60.50 202.26
61.51 201.84
62.52 201.21
63.53 201.02
64.54 201.13
65.55 200.96
66.55 201.37
67.56 200.75
68.57 200.97
69.58 200.65
70.59 200.71
71.60 200.63
72.61 200.45
73.61 200.53
74.62 200.96
75.63 200.55
76.64 200.15
77.65 200.03
78.66 200.42
79.66 200.21
80.67 200.29
81.68 200.34
82.69 200.64
83.70 201.15
84.71 204.10
85.71 204.89
86.72 205.56
87.73 205.23
88.74 205.55
89.75 204.26
90.76 204.37
91.76 204.01
92.77 203.35
93.78 203.32
94.79 202.69
95.80 202.91
96.81 202.34
97.82 202.11
98.82 201.57
99.83 202.18
100.84 201.23
101.85 201.70
102.86 201.16
103.87 200.86
104.87 200.70
105.88 200.93
106.89 200.89
107.90 200.93
108.91 201.13
109.92 200.68
110.92 200.84
111.93 200.23
112.94 200.26
113.95 200.12
114.96 200.67
115.97 200.61
116.97 200.39
117.98 200.72
118.99 200.01
120.00 200.30
