# Time(ns)	Amplitude
0.00 200.25
1.01 199.80
2.02 200.06
3.03 199.64
4.03 200.41
5.04 200.14
6.05 199.86
7.06 200.41
8.07 200.46
9.08 200.16
10.08 199.89
11.09 199.80
12.10 200.16
13.11 199.74
14.12 199.93
15.13 200.14
16.13 200.42
17.14 200.41
18.15 200.10
19.16 200.23
20.17 199.87
21.18 199.79
22.18 200.04
23.19 200.71
24.20 200.35
25.21 200.12
26.22 200.12
27.23 200.49
28.24 201.93
29.24 206.00
30.25 207.36
31.26 207.73
32.27 208.14
33.28 207.05
34.29 206.95
35.29 206.68
36.30 206.03
37.31 205.56
38.32 204.67
39.33 204.85
40.34 204.54
41.34 203.36
42.35 203.37
43.36 202.79
44.37 202.27
45.38 202.38
46.39 202.30
47.39 202.46
48.40 202.03
49.41 201.11
50.42 201.21
51.43 201.38
52.44 201.40
53.45 200.64
54.45 200.53
55.46 200.89
56.47 200.99
57.48 200.78
58.49 200.53
59.50 199.99
60.50 200.50
61.51 200.58
62.52 200.59
63.53 200.21
64.54 200.12
65.55 199.95
66.55 200.95
67.56 200.82
68.57 203.28
69.58 203.96
70.59 205.15
71.60 207.35
72.61 210.82
73.61 211.47
74.62 211.28
75.63 211.04
76.64 210.22
77.65 209.09
78.66 208.57
79.66 207.84
80.67 206.63
81.68 206.47
82.69 207.44
83.70 213.54
84.71 215.53
85.71 215.23
86.72 214.99
87.73 214.38
88.74 212.76
89.75 212.29
90.76 210.76
91.76 209.86
92.77 208.88
93.78 208.08
94.79 207.66
95.80 208.75
96.81 210.27
97.82 210.87
98.82 210.78
99.83 209.86
100.84 210.13
101.85 209.26
102.86 207.77
103.87 207.47
104.87 207.40
105.88 206.39
106.89 205.48
107.90 205.13
108.91 204.60
109.92 203.84
110.92 203.82
111.93 203.42
112.94 203.56
113.95 202.72
114.96 201.97
115.97 202.51
116.97 201.60
117.98 201.72
118.99 201.60
120.00 201.78
