# Time(ns)	Amplitude
0.00 199.77
1.01 200.16
2.02 200.14
3.03 200.29
4.03 200.07
5.04 199.59
6.05 200.14
7.06 200.38
8.07 200.19
9.08 200.16
10.08 200.03
11.09 200.19
12.10 200.04
13.11 200.53
14.12 199.98
15.13 199.82
16.13 199.79
17.14 200.10
18.15 200.08
19.16 200.07
20.17 199.47
21.18 200.17
22.18 199.63
23.19 200.87
24.20 205.00
25.21 207.16
26.22 207.46
27.23 207.33
28.24 207.50
29.24 206.86
30.25 205.26
31.26 205.50
32.27 204.48
33.28 204.49
34.29 204.13
35.29 204.51
36.30 203.44
37.31 203.08
38.32 203.01
39.33 202.36
40.34 202.79
41.34 202.22
42.35 202.06
43.36 200.67
44.37 202.07
45.38 201.78
46.39 201.23
47.39 201.29
48.40 200.74
49.41 201.18
50.42 200.77
51.43 201.31
52.44 201.13
53.45 200.69
54.45 200.52
55.46 200.85
56.47 200.51
57.48 200.05
58.49 200.16
59.50 200.36
60.50 199.95
61.51 199.86
62.52 200.20
63.53 200.50
64.54 200.59
65.55 200.55
66.55 200.14
67.56 200.13
68.57 200.00
69.58 200.34
70.59 200.33
71.60 201.13
72.61 203.90
73.61 205.10
74.62 205.16
75.63 205.19
76.64 205.15
77.65 204.67
78.66 204.73
79.66 207.89
80.67 209.78
81.68 210.55
82.69 209.85
83.70 209.77
84.71 208.71
85.71 207.58
86.72 207.20
87.73 206.45
88.74 206.29
89.75 205.41
90.76 210.40
91.76 212.48
92.77 213.11
93.78 212.36
94.79 211.07
95.80 210.14
96.81 209.65
97.82 209.82
98.82 210.40
99.83 209.97
100.84 209.75
101.85 209.33
102.86 208.78
103.87 207.49
104.87 206.83
105.88 206.43
106.89 205.72
107.90 205.37
108.91 204.16
109.92 203.48
110.92 203.88
111.93 203.41
112.94 203.32
113.95 202.88
114.96 202.87
115.97 202.20
116.97 201.86
117.98 201.28
118.99 201.98
120.00 201.05
