# Time(ns)	Amplitude
0.00 199.95
1.01 199.84
2.02 199.90
3.03 199.75
4.03 199.96
5.04 200.04
6.05 200.01
7.06 200.11
8.07 199.40
9.08 200.59
10.08 200.02
11.09 199.41
12.10 199.75
13.11 199.48
14.12 200.26
15.13 199.78
16.13 199.88
17.14 200.22
18.15 200.11
19.16 200.41
20.17 199.73
21.18 200.14
22.18 199.75
23.19 200.50
24.20 199.61
25.21 199.75
26.22 200.23
27.23 200.43
28.24 199.97
29.24 199.97
30.25 199.64
31.26 200.11
32.27 200.15
33.28 200.34
34.29 199.91
35.29 199.22
36.30 199.74
37.31 199.88
38.32 200.39
39.33 200.15
40.34 200.48
41.34 200.00
42.35 199.81
43.36 200.21
44.37 200.01
45.38 199.45
46.39 199.81
47.39 199.95
48.40 199.32
49.41 199.66
50.42 199.75
51.43 201.91
52.44 202.34
53.45 202.86
54.45 203.11
55.46 203.25
56.47 203.04
57.48 202.59
58.49 202.05
59.50 202.39
60.50 202.02
61.51 201.61
62.52 201.50
63.53 205.39
64.54 210.37
65.55 212.19
66.55 212.48
67.56 212.08
68.57 211.75
69.58 211.28
70.59 209.75
71.60 208.88
72.61 207.51
73.61 207.10
74.62 206.51
75.63 206.28
76.64 208.82
77.65 209.87
78.66 210.67
79.66 214.77
80.67 216.44
81.68 216.95
82.69 216.22
83.70 215.10
84.71 214.09
85.71 213.20
86.72 211.76
87.73 210.86
88.74 209.56
89.75 209.38
90.76 208.35
91.76 207.03
92.77 207.04
93.78 206.35
94.79 205.51
95.80 204.00
96.81 207.78
97.82 213.22
98.82 214.60
99.83 214.53
100.84 214.08
101.85 212.97
102.86 212.16
103.87 210.91
104.87 210.28
105.88 209.07
106.89 208.20
107.90 207.68
108.91 206.89
109.92 206.35
110.92 205.32
111.93 204.84
112.94 204.18
113.95 203.88
114.96 203.84
115.97 203.32
116.97 202.96
117.98 203.35
118.99 202.53
120.00 202.22
