# Time(ns)	Amplitude
0.00 199.78
1.01 200.01
2.02 199.73
3.03 199.75
4.03 200.10
5.04 200.12
6.05 200.28
7.06 199.97
8.07 199.57
9.08 200.14
10.08 199.95
11.09 200.07
12.10 199.80
13.11 200.70
14.12 200.08
15.13 200.28
16.13 200.03
17.14 200.65
18.15 199.75
19.16 200.04
20.17 199.94
21.18 200.07
22.18 200.41
23.19 199.88
24.20 199.98
25.21 199.96
26.22 200.22
27.23 199.90
28.24 199.78
29.24 200.19
30.25 200.00
31.26 199.49
32.27 200.08
33.28 200.30
34.29 200.25
35.29 200.44
36.30 200.56
37.31 199.73
38.32 199.94
39.33 199.84
40.34 200.16
41.34 199.78
42.35 199.99
43.36 199.54
44.37 199.92
45.38 199.93
46.39 200.23
47.39 200.03
48.40 201.30
49.41 203.04
50.42 204.61
51.43 203.96
52.44 204.19
53.45 204.32
54.45 204.01
55.46 203.03
56.47 203.71
57.48 202.86
58.49 202.81
59.50 202.47
60.50 201.98
61.51 201.80
62.52 201.91
63.53 201.57
64.54 201.44
65.55 201.43
66.55 200.26
67.56 200.78
68.57 201.48
69.58 200.10
70.59 200.51
71.60 200.99
72.61 200.86
73.61 201.12
74.62 202.27
75.63 204.56
76.64 211.26
77.65 213.42
78.66 213.78
79.66 213.37
80.67 212.73
81.68 211.68
82.69 211.03
83.70 210.01
84.71 210.65
85.71 213.18
86.72 213.86
87.73 213.52
88.74 212.36
89.75 211.70
90.76 210.47
91.76 209.79
92.77 209.04
93.78 208.03
94.79 207.51
95.80 206.68
96.81 206.55
97.82 204.73
98.82 204.88
99.83 204.38
100.84 204.03
101.85 204.18
102.86 206.96
103.87 207.30
104.87 207.17
105.88 206.47
106.89 206.63
107.90 206.45
108.91 205.43
109.92 204.65
110.92 203.74
111.93 204.07
112.94 203.16
113.95 202.97
114.96 202.95
115.97 203.08
116.97 202.26
117.98 202.41
118.99 202.03
120.00 201.89
