# Time(ns)	Amplitude
0.00 200.01
1.01 200.00
2.02 200.41
3.03 200.09
4.03 199.89
5.04 200.16
6.05 199.65
7.06 200.04
8.07 199.99
9.08 199.72
10.08 199.99
11.09 200.13
12.10 199.77
13.11 199.62
14.12 200.24
15.13 199.43
16.13 199.78
17.14 200.14
18.15 199.64
19.16 200.34
20.17 200.25
21.18 199.46
22.18 199.94
23.19 200.29
24.20 199.61
25.21 200.23
26.22 200.59
27.23 200.04
28.24 200.19
29.24 200.12
30.25 201.00
31.26 200.15
32.27 206.38
33.28 209.64
34.29 209.98
35.29 210.83
36.30 210.55
37.31 209.95
38.32 208.54
39.33 208.50
40.34 207.19
41.34 207.43
42.35 206.44
43.36 205.63
44.37 206.93
45.38 207.41
46.39 207.35
47.39 206.48
48.40 206.01
49.41 205.79
50.42 205.00
51.43 204.30
52.44 204.37
53.45 204.60
54.45 205.40
55.46 209.87
56.47 211.51
57.48 212.81
58.49 212.00
59.50 211.33
60.50 210.43
61.51 209.85
62.52 209.21
63.53 207.68
64.54 206.93
65.55 206.69
66.55 205.02
67.56 205.36
68.57 204.89
69.58 204.71
70.59 203.88
71.60 203.38
72.61 203.26
73.61 203.08
74.62 202.96
75.63 202.35
76.64 202.03
77.65 201.60
78.66 201.55
79.66 201.79
80.67 200.90
81.68 201.15
82.69 201.18
83.70 201.46
84.71 202.22
85.71 204.81
86.72 206.19
87.73 206.66
88.74 206.51
89.75 206.62
90.76 205.75
91.76 205.66
92.77 204.39
93.78 203.76
94.79 203.94
95.80 203.13
96.81 205.33
97.82 206.43
98.82 206.86
99.83 206.63
100.84 206.25
101.85 205.85
102.86 205.07
103.87 204.63
104.87 204.40
105.88 203.86
106.89 203.74
107.90 202.93
108.91 203.00
109.92 202.67
110.92 202.51
111.93 201.96
112.94 201.85
113.95 202.34
114.96 201.85
115.97 201.69
116.97 201.88
117.98 201.03
118.99 201.34
120.00 201.39
