# Time(ns)	Amplitude
0.00 200.16
1.01 200.44
2.02 199.94
3.03 199.89
4.03 200.16
5.04 199.99
6.05 199.99
7.06 200.10
8.07 199.82
9.08 199.85
10.08 200.48
11.09 200.17
12.10 199.60
13.11 199.69
14.12 199.46
15.13 199.94
16.13 200.41
17.14 199.79
18.15 200.25
19.16 200.45
20.17 199.71
21.18 199.66
22.18 199.99
23.19 199.71
24.20 200.65
25.21 200.19
26.22 199.94
27.23 200.53
28.24 200.58
29.24 200.20
30.25 200.09
31.26 199.56
32.27 200.27
33.28 199.55
34.29 200.13
35.29 199.79
36.30 200.06
37.31 199.83
38.32 200.22
39.33 199.56
40.34 199.95
41.34 200.09
42.35 199.92
43.36 200.77
44.37 199.78
45.38 200.08
46.39 199.64
47.39 200.29
48.40 200.32
49.41 203.30
50.42 206.64
51.43 207.74
52.44 207.88
53.45 213.12
54.45 215.94
55.46 217.24
56.47 216.71
57.48 215.33
58.49 214.37
59.50 213.57
60.50 212.01
61.51 210.86
62.52 210.60
63.53 208.83
64.54 207.70
65.55 207.57
66.55 206.51
67.56 206.26
68.57 205.18
69.58 204.49
70.59 204.16
71.60 203.64
72.61 203.50
73.61 203.11
74.62 203.14
75.63 202.27
76.64 202.43
77.65 201.90
78.66 201.86
79.66 202.20
80.67 206.98
81.68 210.37
82.69 211.83
83.70 211.32
84.71 211.21
85.71 210.98
86.72 210.01
87.73 209.07
88.74 207.72
89.75 207.11
90.76 206.94
91.76 206.57
92.77 206.03
93.78 205.09
94.79 204.76
95.80 204.20
96.81 203.78
97.82 204.20
98.82 202.99
99.83 202.58
100.84 204.78
101.85 207.57
102.86 208.34
103.87 207.41
104.87 208.35
105.88 206.99
106.89 210.57
107.90 213.29
108.91 213.84
109.92 212.87
110.92 212.15
111.93 211.69
112.94 210.89
113.95 210.37
114.96 208.82
115.97 207.63
116.97 207.20
117.98 206.33
118.99 207.07
120.00 205.02
