# Time(ns)	Amplitude
0.00 200.28
1.01 199.58
2.02 200.22
3.03 199.93
4.03 199.98
5.04 199.69
6.05 200.05
7.06 200.00
8.07 200.17
9.08 200.48
10.08 205.42
11.09 206.92
12.10 207.15
13.11 207.65
14.12 207.44
15.13 207.36
16.13 206.38
17.14 206.19
18.15 205.38
19.16 204.79
20.17 204.69
21.18 204.06
22.18 203.63
23.19 203.37
24.20 203.09
25.21 201.92
26.22 202.04
27.23 202.57
28.24 202.85
29.24 201.86
30.25 201.53
31.26 201.92
32.27 201.64
33.28 201.21
34.29 200.66
35.29 201.23
36.30 200.79
37.31 200.72
38.32 200.72
39.33 201.04
40.34 200.21
41.34 200.32
42.35 201.21
43.36 200.69
44.37 200.80
45.38 199.94
46.39 200.87
47.39 199.97
48.40 200.20
49.41 200.19
50.42 200.36
51.43 199.96
52.44 199.96
53.45 200.52
54.45 200.33
55.46 199.93
56.47 200.57
57.48 200.68
58.49 200.01
59.50 199.87
60.50 200.29
61.51 199.78
62.52 200.09
63.53 199.82
64.54 199.90
65.55 199.97
66.55 200.26
67.56 199.47
68.57 200.09
69.58 202.87
70.59 204.34
71.60 204.68
72.61 204.31
73.61 204.24
74.62 203.69
75.63 203.62
76.64 203.51
77.65 203.11
78.66 202.64
79.66 202.83
80.67 202.54
81.68 202.18
82.69 201.85
83.70 201.87
84.71 201.85
85.71 201.16
86.72 206.74
87.73 208.87
88.74 209.59
89.75 209.54
90.76 208.83
91.76 208.31
92.77 207.86
93.78 206.86
94.79 206.68
95.80 205.45
96.81 205.49
97.82 204.51
98.82 204.34
99.83 203.97
100.84 202.87
101.85 203.40
102.86 208.95
103.87 211.12
104.87 211.99
105.88 214.68
106.89 216.19
107.90 216.38
108.91 216.03
109.92 215.39
110.92 213.61
111.93 212.92
112.94 211.93
113.95 210.91
114.96 209.73
115.97 208.67
116.97 207.87
117.98 207.26
118.99 206.34
120.00 205.68
