# Time(ns)	Amplitude
0.00 200.23
1.01 199.70
2.02 199.97
3.03 200.04
4.03 200.71
5.04 199.84
6.05 203.64
7.06 205.51
8.07 211.33
9.08 215.60
10.08 217.55
11.09 216.81
12.10 215.85
13.11 214.78
14.12 214.07
15.13 212.86
16.13 211.76
17.14 210.79
18.15 209.55
19.16 208.53
20.17 207.55
21.18 207.46
22.18 206.37
23.19 205.36
24.20 205.09
25.21 204.92
26.22 204.31
27.23 204.17
28.24 203.13
29.24 203.20
30.25 202.92
31.26 202.36
32.27 201.99
33.28 201.81
34.29 201.67
35.29 201.54
36.30 200.96
37.31 201.22
38.32 202.03
39.33 201.19
40.34 200.94
41.34 204.82
42.35 208.34
43.36 209.90
44.37 210.69
45.38 210.32
46.39 209.43
47.39 208.44
48.40 207.75
49.41 207.61
50.42 207.12
51.43 206.61
52.44 205.70
53.45 204.98
54.45 204.28
55.46 206.57
56.47 207.07
57.48 207.45
58.49 207.22
59.50 206.73
60.50 206.10
61.51 205.53
62.52 204.87
63.53 205.27
64.54 204.48
65.55 203.80
66.55 203.61
67.56 202.68
68.57 202.83
69.58 202.50
70.59 202.82
71.60 202.13
72.61 202.05
73.61 202.33
74.62 201.54
75.63 201.17
76.64 201.29
77.65 201.22
78.66 201.77
79.66 201.06
80.67 200.95
81.68 200.90
82.69 200.84
83.70 200.55
84.71 200.41
85.71 201.49
86.72 200.28
87.73 200.72
88.74 200.11
89.75 200.17
90.76 200.13
91.76 200.01
92.77 199.87
93.78 201.74
94.79 202.75
95.80 203.34
96.81 203.47
97.82 203.15
98.82 203.02
99.83 202.71
100.84 202.43
101.85 202.75
102.86 201.37
103.87 201.67
104.87 202.00
105.88 201.59
106.89 201.48
107.90 201.42
108.91 200.94
109.92 201.12
110.92 201.13
111.93 200.95
112.94 200.97
113.95 200.95
114.96 200.61
115.97 200.00
116.97 201.13
117.98 200.78
118.99 200.72
120.00 201.14
