# Time(ns)	Amplitude
0.00 200.15
1.01 199.74
2.02 199.82
3.03 199.92
4.03 200.03
5.04 200.42
6.05 200.09
7.06 200.02
8.07 200.18
9.08 199.44
10.08 199.86
11.09 202.41
12.10 202.89
13.11 203.39
14.12 203.38
15.13 203.62
16.13 203.37
17.14 202.29
18.15 202.73
19.16 202.77
20.17 202.05
21.18 202.51
22.18 201.40
23.19 201.74
24.20 201.36
25.21 201.78
26.22 201.65
27.23 200.90
28.24 202.09
29.24 203.58
30.25 204.01
31.26 203.74
32.27 203.86
33.28 203.73
34.29 203.35
35.29 203.00
36.30 202.62
37.31 202.61
38.32 202.40
39.33 202.14
40.34 201.43
41.34 201.81
42.35 201.74
43.36 201.07
44.37 201.47
45.38 200.63
46.39 200.32
47.39 200.65
48.40 200.65
49.41 201.03
50.42 201.05
51.43 200.76
52.44 200.58
53.45 200.22
54.45 200.35
55.46 200.44
56.47 200.07
57.48 200.35
58.49 200.19
59.50 200.36
60.50 200.25
61.51 200.24
62.52 200.48
63.53 201.10
64.54 202.18
65.55 204.17
66.55 204.65
67.56 204.01
68.57 204.28
69.58 203.52
70.59 203.37
71.60 203.53
72.61 203.20
73.61 203.35
74.62 202.16
75.63 202.06
76.64 201.95
77.65 202.12
78.66 201.71
79.66 203.40
80.67 209.23
81.68 210.95
82.69 211.66
83.70 211.74
84.71 210.86
85.71 216.64
86.72 218.73
87.73 219.71
88.74 219.41
89.75 218.30
90.76 216.88
91.76 215.50
92.77 213.57
93.78 212.65
94.79 211.31
95.80 210.20
96.81 209.50
97.82 208.76
98.82 208.24
99.83 207.32
100.84 206.25
101.85 205.61
102.86 205.38
103.87 204.16
104.87 204.74
105.88 203.94
106.89 203.05
107.90 202.98
108.91 202.86
109.92 202.05
110.92 202.49
111.93 202.19
112.94 201.29
113.95 202.30
114.96 201.77
115.97 201.24
116.97 202.00
117.98 200.94
118.99 201.86
120.00 200.36
