# Time(ns)	Amplitude
0.00 200.13
1.01 199.94
2.02 199.81
3.03 199.47
4.03 200.74
5.04 199.83
6.05 200.09
7.06 199.89
8.07 199.77
9.08 200.24
10.08 199.29
11.09 199.15
12.10 200.15
13.11 199.96
14.12 200.10
15.13 199.72
16.13 201.85
17.14 204.49
18.15 204.85
19.16 205.88
20.17 205.45
21.18 205.32
22.18 205.05
23.19 204.01
24.20 203.45
25.21 203.32
26.22 203.75
27.23 203.12
28.24 202.11
29.24 203.18
30.25 202.66
31.26 201.92
32.27 201.81
33.28 201.92
34.29 201.47
35.29 201.26
36.30 201.27
37.31 200.81
38.32 200.86
39.33 201.37
40.34 200.64
41.34 200.39
42.35 200.55
43.36 200.65
44.37 207.11
45.38 210.57
46.39 211.39
47.39 211.61
48.40 211.50
49.41 209.76
50.42 214.26
51.43 215.85
52.44 216.88
53.45 215.75
54.45 214.28
55.46 213.59
56.47 212.31
57.48 211.13
58.49 210.40
59.50 209.45
60.50 208.26
61.51 207.91
62.52 206.95
63.53 206.31
64.54 206.44
65.55 210.12
66.55 212.51
67.56 212.59
68.57 211.45
69.58 211.15
70.59 210.02
71.60 209.98
72.61 208.04
73.61 207.81
74.62 207.34
75.63 206.39
76.64 205.75
77.65 205.38
78.66 205.02
79.66 204.59
80.67 203.94
81.68 203.85
82.69 203.59
83.70 203.00
84.71 202.91
85.71 202.27
86.72 202.42
87.73 201.80
88.74 201.71
89.75 201.58
90.76 202.01
91.76 201.25
92.77 200.95
93.78 200.90
94.79 201.05
95.80 201.18
96.81 200.96
97.82 200.99
98.82 200.44
99.83 200.81
100.84 200.04
101.85 200.43
102.86 200.39
103.87 200.41
104.87 200.62
105.88 200.00
106.89 199.74
107.90 200.20
108.91 207.00
109.92 210.13
110.92 211.19
111.93 211.34
112.94 210.82
113.95 209.73
114.96 209.26
115.97 208.28
116.97 207.59
117.98 206.98
118.99 206.61
120.00 206.36
