# Time(ns)	Amplitude
0.00 200.11
1.01 200.63
2.02 200.37
3.03 200.42
4.03 199.99
5.04 199.89
6.05 199.97
7.06 200.27
8.07 200.09
9.08 200.08
10.08 199.55
11.09 200.24
12.10 199.47
13.11 200.26
14.12 200.45
15.13 199.52
16.13 199.98
17.14 201.85
18.15 203.44
19.16 208.30
20.17 210.59
21.18 211.01
22.18 210.56
23.19 215.50
24.20 218.64
25.21 219.19
26.22 218.51
27.23 217.76
28.24 216.79
29.24 214.53
30.25 213.73
31.26 212.49
32.27 211.28
33.28 209.93
34.29 209.60
35.29 208.85
36.30 207.50
37.31 206.71
38.32 210.32
39.33 212.69
40.34 213.67
41.34 213.40
42.35 212.93
43.36 211.73
44.37 211.16
45.38 210.36
46.39 209.28
47.39 208.21
48.40 207.91
49.41 206.37
50.42 206.62
51.43 205.56
52.44 205.59
53.45 204.62
54.45 206.37
55.46 209.73
56.47 211.41
57.48 212.05
58.49 211.48
59.50 211.31
60.50 209.95
61.51 209.28
62.52 208.39
63.53 208.11
64.54 206.21
65.55 206.15
66.55 205.45
67.56 205.64
68.57 204.36
69.58 203.95
70.59 203.88
71.60 203.10
72.61 202.98
73.61 202.71
74.62 202.23
75.63 202.67
76.64 202.08
77.65 201.60
78.66 202.05
79.66 201.71
80.67 201.21
81.68 201.52
82.69 201.15
83.70 201.01
84.71 201.00
85.71 200.64
86.72 200.85
87.73 201.03
88.74 200.33
89.75 200.99
90.76 200.89
91.76 200.76
92.77 200.21
93.78 200.22
94.79 200.66
95.80 200.62
96.81 200.20
97.82 200.49
98.82 200.39
99.83 200.28
100.84 199.94
101.85 200.39
102.86 200.04
103.87 200.32
104.87 200.47
105.88 199.93
106.89 200.06
107.90 200.41
108.91 200.00
109.92 200.33
110.92 200.03
111.93 200.13
112.94 200.80
113.95 199.63
114.96 200.36
115.97 199.90
116.97 199.94
117.98 199.98
118.99 200.08
120.00 200.43
