# Time(ns)	Amplitude
0.00 199.90
1.01 199.58
2.02 200.75
3.03 200.30
4.03 200.48
5.04 200.14
6.05 200.28
7.06 200.19
8.07 199.99
9.08 199.89
10.08 200.10
11.09 199.66
12.10 200.32
13.11 199.97
14.12 199.83
15.13 200.19
16.13 199.80
17.14 199.92
18.15 199.91
19.16 200.17
20.17 200.14
21.18 200.03
22.18 200.10
23.19 201.57
24.20 202.18
25.21 203.66
26.22 202.66
27.23 202.87
28.24 202.40
29.24 202.35
30.25 201.86
31.26 202.39
32.27 206.19
33.28 207.54
34.29 207.21
35.29 207.10
36.30 210.37
37.31 212.48
38.32 212.46
39.33 212.16
40.34 211.39
41.34 210.95
42.35 209.94
43.36 209.36
44.37 208.27
45.38 207.29
46.39 206.46
47.39 205.99
48.40 205.07
49.41 204.87
50.42 204.57
51.43 203.77
52.44 203.33
53.45 203.86
54.45 203.47
55.46 205.79
56.47 205.87
57.48 206.02
58.49 206.26
59.50 205.65
60.50 205.26
61.51 204.91
62.52 204.29
63.53 203.73
64.54 203.94
65.55 204.09
66.55 202.67
67.56 203.12
68.57 202.21
69.58 202.32
70.59 201.77
71.60 201.60
72.61 201.29
73.61 205.79
74.62 208.24
75.63 209.20
76.64 208.82
77.65 208.26
78.66 207.96
79.66 207.67
80.67 206.91
81.68 206.25
82.69 205.25
83.70 204.87
84.71 204.35
85.71 204.19
86.72 203.91
87.73 203.07
88.74 203.03
89.75 202.35
90.76 202.61
91.76 202.30
92.77 202.29
93.78 201.63
94.79 202.11
95.80 201.51
96.81 201.22
97.82 200.84
98.82 201.00
99.83 201.06
100.84 200.96
101.85 200.56
102.86 201.13
103.87 200.93
104.87 200.85
105.88 200.44
106.89 200.41
107.90 200.34
108.91 200.22
109.92 200.40
110.92 200.52
111.93 200.40
112.94 200.29
113.95 200.29
114.96 200.19
115.97 200.56
116.97 200.67
117.98 199.93
118.99 200.42
120.00 200.14
