# Time(ns)	Amplitude
0.00 200.23
1.01 200.29
2.02 199.90
3.03 200.24
4.03 200.08
5.04 200.53
6.05 200.31
7.06 200.22
8.07 199.94
9.08 200.20
10.08 199.44
11.09 199.74
12.10 199.82
13.11 200.40
14.12 202.01
15.13 204.28
16.13 204.33
17.14 204.52
18.15 204.75
19.16 204.75
20.17 203.63
21.18 203.99
22.18 203.14
23.19 206.33
24.20 209.68
25.21 210.32
26.22 210.31
27.23 209.37
28.24 209.65
29.24 208.68
30.25 208.00
31.26 207.24
32.27 206.47
33.28 206.04
34.29 205.85
35.29 204.96
36.30 204.49
37.31 204.19
38.32 203.63
39.33 203.14
40.34 203.21
41.34 203.46
42.35 208.90
43.36 210.38
44.37 212.17
45.38 211.40
46.39 210.54
47.39 210.57
48.40 209.62
49.41 208.55
50.42 207.83
51.43 207.59
52.44 205.98
53.45 206.00
54.45 205.94
55.46 205.20
56.47 204.11
57.48 204.10
58.49 203.31
59.50 203.72
60.50 203.27
61.51 203.34
62.52 202.42
63.53 202.24
64.54 201.59
65.55 201.94
66.55 201.07
67.56 201.23
68.57 200.77
69.58 201.72
70.59 200.87
71.60 200.96
72.61 201.29
73.61 200.52
74.62 200.58
75.63 200.68
76.64 200.77
77.65 200.43
78.66 200.50
79.66 201.16
80.67 204.04
81.68 203.93
82.69 204.31
83.70 203.93
84.71 204.17
85.71 203.51
86.72 203.71
87.73 203.63
88.74 203.31
89.75 202.84
90.76 201.79
91.76 201.89
92.77 201.92
93.78 202.12
94.79 204.68
95.80 207.62
96.81 208.71
97.82 208.73
98.82 209.16
99.83 207.86
100.84 207.87
101.85 207.27
102.86 206.55
103.87 205.13
104.87 205.04
105.88 204.81
106.89 204.43
107.90 203.50
108.91 203.17
109.92 203.15
110.92 202.83
111.93 202.39
112.94 202.52
113.95 202.09
114.96 202.07
115.97 202.24
116.97 202.10
117.98 201.69
118.99 201.44
120.00 201.41
