# Time(ns)	Amplitude
0.00 199.71
1.01 200.23
2.02 200.06
3.03 200.44
4.03 200.35
5.04 199.90
6.05 199.86
7.06 200.16
8.07 199.78
9.08 199.96
10.08 199.97
11.09 200.46
12.10 200.20
13.11 199.72
14.12 199.99
15.13 200.70
16.13 200.10
17.14 200.13
18.15 199.67
19.16 199.89
20.17 199.90
21.18 205.76
22.18 208.91
23.19 209.95
24.20 209.76
25.21 209.38
26.22 208.71
27.23 208.19
28.24 207.47
29.24 206.71
30.25 205.84
31.26 205.57
32.27 204.80
33.28 209.33
34.29 211.34
35.29 211.88
36.30 211.44
37.31 211.01
38.32 210.09
39.33 208.85
40.34 208.46
41.34 207.79
42.35 207.01
43.36 206.67
44.37 205.86
45.38 205.15
46.39 204.55
47.39 203.66
48.40 203.81
49.41 203.54
50.42 203.21
51.43 202.98
52.44 202.89
53.45 201.97
54.45 202.42
55.46 204.44
56.47 210.09
57.48 211.67
58.49 212.56
59.50 212.04
60.50 211.11
61.51 210.39
62.52 209.14
63.53 208.59
64.54 208.20
65.55 207.41
66.55 206.44
67.56 205.67
68.57 205.38
69.58 204.27
70.59 204.44
71.60 204.26
72.61 203.63
73.61 203.18
74.62 203.00
75.63 201.99
76.64 202.99
77.65 202.48
78.66 202.00
79.66 201.74
80.67 201.73
81.68 201.94
82.69 201.57
83.70 201.03
84.71 200.82
85.71 200.97
86.72 200.96
87.73 201.20
88.74 200.87
89.75 200.82
90.76 200.44
91.76 200.76
92.77 200.75
93.78 200.21
94.79 204.36
95.80 207.90
96.81 209.71
97.82 209.85
98.82 209.54
99.83 209.46
100.84 208.25
101.85 207.93
102.86 206.86
103.87 206.74
104.87 205.59
105.88 205.74
106.89 204.96
107.90 204.31
108.91 203.64
109.92 205.58
110.92 207.65
111.93 208.52
112.94 208.52
113.95 207.97
114.96 207.53
115.97 206.68
116.97 207.17
117.98 205.72
118.99 205.58
120.00 205.12
