# Time(ns)	Amplitude
0.00 199.85
1.01 199.72
2.02 199.27
3.03 200.03
4.03 200.17
5.04 199.74
6.05 199.90
7.06 199.81
8.07 199.90
9.08 200.03
10.08 200.11
11.09 199.99
12.10 201.80
13.11 206.81
14.12 209.88
15.13 210.71
16.13 210.78
17.14 210.38
18.15 209.20
19.16 208.30
20.17 208.72
21.18 207.31
22.18 206.34
23.19 205.44
24.20 205.43
25.21 204.76
26.22 204.61
27.23 204.15
28.24 204.21
29.24 205.24
30.25 210.33
31.26 212.14
32.27 212.97
33.28 212.75
34.29 211.19
35.29 210.69
36.30 210.66
37.31 209.27
38.32 208.00
39.33 207.70
40.34 206.32
41.34 206.83
42.35 205.17
43.36 205.42
44.37 204.27
45.38 203.93
46.39 203.60
47.39 202.81
48.40 202.91
49.41 202.84
50.42 201.97
51.43 202.41
52.44 203.62
53.45 205.03
54.45 206.37
55.46 205.47
56.47 204.89
57.48 205.06
58.49 204.46
59.50 204.26
60.50 203.66
61.51 203.29
62.52 203.32
63.53 202.77
64.54 203.15
65.55 202.05
66.55 202.76
67.56 202.02
68.57 202.16
69.58 201.69
70.59 201.45
71.60 201.48
72.61 201.68
73.61 201.36
74.62 200.54
75.63 200.14
76.64 200.36
77.65 200.70
78.66 201.00
79.66 200.23
80.67 200.76
81.68 200.28
82.69 200.39
83.70 202.09
84.71 207.51
85.71 209.84
86.72 210.22
87.73 209.86
88.74 209.74
89.75 209.29
90.76 208.30
91.76 207.28
92.77 206.14
93.78 206.49
94.79 205.81
95.80 205.67
96.81 205.02
97.82 204.56
98.82 203.47
99.83 204.07
100.84 202.75
101.85 203.33
102.86 202.31
103.87 202.34
104.87 201.64
105.88 201.67
106.89 201.52
107.90 201.39
108.91 201.23
109.92 204.76
110.92 208.69
111.93 210.74
112.94 210.90
113.95 211.42
114.96 210.37
115.97 209.76
116.97 208.81
117.98 207.80
118.99 207.48
120.00 205.97
