# Time(ns)	Amplitude
0.00 200.54
1.01 199.66
2.02 200.22
3.03 199.74
4.03 200.10
5.04 199.42
6.05 200.06
7.06 199.77
8.07 200.17
9.08 200.08
10.08 199.66
11.09 200.28
12.10 200.58
13.11 200.03
14.12 200.57
15.13 200.07
16.13 199.72
17.14 199.30
18.15 200.24
19.16 199.71
20.17 200.12
21.18 200.25
22.18 199.59
23.19 200.20
24.20 200.33
25.21 200.10
26.22 199.55
27.23 200.22
28.24 199.67
29.24 199.50
30.25 200.22
31.26 200.32
32.27 199.53
33.28 200.48
34.29 200.32
35.29 199.41
36.30 200.01
37.31 200.16
38.32 200.39
39.33 199.73
40.34 200.47
41.34 199.85
42.35 200.09
43.36 200.03
44.37 199.55
45.38 200.50
46.39 200.00
47.39 199.95
48.40 200.28
49.41 199.89
50.42 200.33
51.43 199.70
52.44 200.23
53.45 199.89
54.45 200.18
55.46 200.02
56.47 199.92
57.48 200.14
58.49 200.12
59.50 199.64
60.50 199.92
61.51 199.78
62.52 200.56
63.53 200.87
64.54 199.73
65.55 200.36
66.55 200.19
67.56 200.29
68.57 199.84
69.58 200.58
70.59 200.29
71.60 199.92
72.61 199.88
73.61 201.85
74.62 205.14
75.63 206.55
76.64 207.10
77.65 206.66
78.66 207.57
79.66 211.57
80.67 213.25
81.68 213.12
82.69 212.84
83.70 212.35
84.71 211.39
85.71 210.46
86.72 209.59
87.73 208.74
88.74 210.54
89.75 210.52
90.76 210.56
91.76 210.49
92.77 209.65
93.78 208.54
94.79 208.26
95.80 207.26
96.81 206.70
97.82 210.32
98.82 213.71
99.83 214.17
100.84 214.07
101.85 212.71
102.86 212.46
103.87 213.75
104.87 218.69
105.88 219.67
106.89 219.70
107.90 218.18
108.91 216.73
109.92 215.67
110.92 215.17
111.93 212.59
112.94 212.00
113.95 210.61
114.96 210.33
115.97 208.83
116.97 207.99
117.98 207.43
118.99 206.58
120.00 205.68
