# Time(ns)	Amplitude
0.00 200.38
1.01 199.65
2.02 199.90
3.03 200.22
4.03 200.01
5.04 199.66
6.05 200.23
7.06 199.99
8.07 201.48
9.08 202.87
10.08 203.30
11.09 205.85
12.10 207.85
13.11 208.10
14.12 208.45
15.13 208.05
16.13 208.68
17.14 212.26
18.15 212.45
19.16 212.41
20.17 211.83
21.18 210.94
22.18 209.29
23.19 209.46
24.20 208.47
25.21 207.48
26.22 207.30
27.23 205.98
28.24 205.60
29.24 204.69
30.25 204.77
31.26 204.19
32.27 203.74
33.28 203.31
34.29 202.67
35.29 201.99
36.30 202.63
37.31 202.30
38.32 202.32
39.33 201.40
40.34 201.21
41.34 201.26
42.35 201.25
43.36 201.36
44.37 201.19
45.38 201.04
46.39 201.27
47.39 201.15
48.40 200.97
49.41 200.63
50.42 200.51
51.43 200.72
52.44 200.28
53.45 200.35
54.45 200.24
55.46 200.06
56.47 200.03
57.48 200.60
58.49 200.17
59.50 200.16
60.50 200.44
61.51 204.21
62.52 205.97
63.53 206.83
64.54 207.10
65.55 206.64
66.55 205.90
67.56 205.59
68.57 205.43
69.58 204.72
70.59 204.40
71.60 206.99
72.61 209.27
73.61 209.61
74.62 209.20
75.63 208.52
76.64 207.63
77.65 206.60
78.66 206.87
79.66 206.70
80.67 205.72
81.68 204.31
82.69 204.54
83.70 203.47
84.71 203.67
85.71 203.12
86.72 202.90
87.73 202.20
88.74 202.42
89.75 201.94
90.76 202.12
91.76 201.97
92.77 202.13
93.78 201.75
94.79 200.90
95.80 201.11
96.81 201.05
97.82 201.02
98.82 201.22
99.83 200.48
100.84 200.24
101.85 200.32
102.86 200.12
103.87 200.81
104.87 200.45
105.88 200.66
106.89 199.89
107.90 200.13
108.91 200.64
109.92 200.04
110.92 199.88
111.93 200.00
112.94 199.79
113.95 200.30
114.96 199.90
115.97 199.97
116.97 200.20
117.98 200.12
118.99 200.38
120.00 199.87
