# Time(ns)	Amplitude
0.00 199.70
1.01 199.79
2.02 199.98
3.03 199.85
4.03 199.71
5.04 199.68
6.05 200.29
7.06 200.31
8.07 199.42
9.08 199.50
10.08 201.65
11.09 205.37
12.10 206.94
13.11 208.04
14.12 207.36
15.13 206.28
16.13 206.38
17.14 206.22
18.15 205.14
19.16 204.70
20.17 204.38
21.18 204.19
22.18 203.34
23.19 203.20
24.20 202.89
25.21 206.19
26.22 207.56
27.23 208.67
28.24 208.14
29.24 208.33
30.25 207.93
31.26 206.73
32.27 206.65
33.28 205.56
34.29 204.87
35.29 204.26
36.30 204.64
37.31 204.13
38.32 203.26
39.33 202.91
40.34 202.94
41.34 202.40
42.35 202.68
43.36 202.11
44.37 201.70
45.38 201.71
46.39 201.73
47.39 201.75
48.40 201.53
49.41 201.27
50.42 200.81
51.43 201.06
52.44 200.14
53.45 200.58
54.45 200.61
55.46 200.70
56.47 201.08
57.48 201.22
58.49 200.89
59.50 199.94
60.50 200.52
61.51 200.31
62.52 200.29
63.53 200.16
64.54 200.21
65.55 199.88
66.55 199.97
67.56 200.71
68.57 200.37
69.58 200.26
70.59 200.31
71.60 200.03
72.61 200.19
73.61 200.33
74.62 200.15
75.63 200.02
76.64 200.59
77.65 201.86
78.66 205.88
79.66 208.58
80.67 208.39
81.68 209.27
82.69 208.83
83.70 207.98
84.71 207.42
85.71 206.62
86.72 206.37
87.73 205.60
88.74 208.45
89.75 211.34
90.76 212.29
91.76 212.25
92.77 213.83
93.78 214.36
94.79 213.99
95.80 212.98
96.81 212.31
97.82 210.88
98.82 210.19
99.83 209.04
100.84 208.55
101.85 207.65
102.86 207.14
103.87 206.77
104.87 206.12
105.88 205.03
106.89 204.46
107.90 204.13
108.91 203.69
109.92 203.44
110.92 203.59
111.93 202.74
112.94 202.56
113.95 201.89
114.96 202.22
115.97 201.98
116.97 201.54
117.98 201.74
118.99 201.28
120.00 201.70
