# Time(ns)	Amplitude
0.00 200.50
1.01 200.05
2.02 199.97
3.03 200.37
4.03 200.25
5.04 200.50
6.05 200.35
7.06 200.28
8.07 199.72
9.08 199.83
10.08 200.16
11.09 199.35
12.10 199.68
13.11 200.13
14.12 202.35
15.13 203.40
16.13 202.72
17.14 203.02
18.15 203.05
19.16 202.43
20.17 203.02
21.18 202.74
22.18 202.46
23.19 201.82
24.20 201.73
25.21 201.85
26.22 201.25
27.23 201.31
28.24 201.58
29.24 201.56
30.25 200.60
31.26 200.94
32.27 200.71
33.28 200.56
34.29 200.71
35.29 200.49
36.30 200.34
37.31 200.56
38.32 200.22
39.33 200.86
40.34 200.20
41.34 199.84
42.35 200.35
43.36 200.26
44.37 200.38
45.38 200.67
46.39 200.56
47.39 200.23
48.40 200.03
49.41 199.96
50.42 199.95
51.43 199.59
52.44 199.86
53.45 200.01
54.45 201.83
55.46 205.23
56.47 206.80
57.48 206.83
58.49 206.71
59.50 206.59
60.50 206.20
61.51 205.32
62.52 204.81
63.53 204.65
64.54 204.17
65.55 203.63
66.55 203.91
67.56 202.86
68.57 203.16
69.58 202.72
70.59 201.87
71.60 202.00
72.61 201.65
73.61 201.84
74.62 201.74
75.63 204.07
76.64 204.80
77.65 204.44
78.66 205.03
79.66 206.57
80.67 206.96
81.68 207.14
82.69 206.14
83.70 206.01
84.71 205.27
85.71 205.25
86.72 204.66
87.73 204.07
88.74 203.59
89.75 203.51
90.76 203.13
91.76 202.55
92.77 202.88
93.78 202.28
94.79 202.08
95.80 202.32
96.81 201.49
97.82 201.41
98.82 201.44
99.83 201.09
100.84 201.41
101.85 201.16
102.86 201.07
103.87 201.34
104.87 205.58
105.88 207.75
106.89 208.46
107.90 208.71
108.91 207.48
109.92 207.48
110.92 206.43
111.93 206.62
112.94 205.62
113.95 205.32
114.96 204.73
115.97 204.22
116.97 203.74
117.98 203.66
118.99 203.23
120.00 202.42
