# Time(ns)	Amplitude
0.00 200.08
1.01 199.72
2.02 200.37
3.03 199.81
4.03 199.85
5.04 200.03
6.05 200.10
7.06 199.58
8.07 199.87
9.08 199.73
10.08 200.69
11.09 199.85
12.10 199.45
13.11 199.61
14.12 200.07
15.13 200.37
16.13 200.13
17.14 200.15
18.15 200.06
19.16 199.60
20.17 200.73
21.18 199.86
22.18 200.13
23.19 201.90
24.20 205.25
25.21 207.16
26.22 207.42
27.23 207.33
28.24 207.16
29.24 206.99
30.25 205.88
31.26 205.60
32.27 205.08
33.28 204.87
34.29 204.05
35.29 203.63
36.30 203.02
37.31 203.22
38.32 202.46
39.33 202.61
40.34 202.66
41.34 201.85
42.35 201.27
43.36 201.41
44.37 201.22
45.38 201.22
46.39 205.18
47.39 207.95
48.40 208.53
49.41 208.20
50.42 208.39
51.43 207.53
52.44 206.18
53.45 206.41
54.45 206.34
55.46 204.89
56.47 204.69
57.48 204.41
58.49 204.17
59.50 203.72
60.50 203.16
61.51 203.11
62.52 202.76
63.53 202.30
64.54 201.97
65.55 201.99
66.55 201.58
67.56 201.28
68.57 201.50
69.58 201.61
70.59 201.41
71.60 201.01
72.61 200.84
73.61 201.17
74.62 200.74
75.63 201.39
76.64 204.73
77.65 205.73
78.66 206.69
79.66 205.86
80.67 205.76
81.68 205.48
82.69 204.71
83.70 204.56
84.71 204.30
85.71 204.13
86.72 203.66
87.73 203.15
88.74 202.79
89.75 202.56
90.76 202.36
91.76 202.05
92.77 203.77
93.78 204.70
94.79 204.53
95.80 204.02
96.81 204.64
97.82 204.02
98.82 204.27
99.83 203.58
100.84 202.73
101.85 202.93
102.86 202.84
103.87 202.52
104.87 203.41
105.88 206.25
106.89 207.23
107.90 207.04
108.91 207.26
109.92 206.33
110.92 206.16
111.93 205.38
112.94 205.16
113.95 205.22
114.96 204.04
115.97 203.45
116.97 203.30
117.98 203.20
118.99 202.55
120.00 202.25
