# Time(ns)	Amplitude
0.00 200.24
1.01 199.98
2.02 200.37
3.03 199.56
4.03 199.44
5.04 200.04
6.05 199.94
7.06 200.15
8.07 200.41
9.08 199.48
10.08 200.40
11.09 199.40
12.10 199.72
13.11 200.01
14.12 200.55
15.13 199.82
16.13 199.73
17.14 200.08
18.15 199.81
19.16 199.88
20.17 200.31
21.18 200.10
22.18 200.04
23.19 199.99
24.20 200.35
25.21 200.47
26.22 199.92
27.23 200.32
28.24 199.93
29.24 201.11
30.25 203.81
31.26 204.35
32.27 204.87
33.28 205.21
34.29 210.71
35.29 213.80
36.30 214.73
37.31 214.20
38.32 213.21
39.33 212.63
40.34 212.86
41.34 210.49
42.35 209.56
43.36 208.16
44.37 207.90
45.38 206.87
46.39 206.38
47.39 206.04
48.40 205.24
49.41 204.81
50.42 204.31
51.43 203.73
52.44 203.42
53.45 203.38
54.45 203.06
55.46 203.05
56.47 202.29
57.48 202.19
58.49 202.18
59.50 201.66
60.50 201.55
61.51 201.32
62.52 201.21
63.53 200.71
64.54 201.02
65.55 201.88
66.55 200.88
67.56 200.34
68.57 200.37
69.58 200.79
70.59 200.49
71.60 200.62
72.61 200.51
73.61 200.25
74.62 200.76
75.63 200.01
76.64 200.09
77.65 200.66
78.66 200.72
79.66 202.58
80.67 203.83
81.68 203.51
82.69 203.27
83.70 204.02
84.71 202.81
85.71 202.86
86.72 203.09
87.73 201.89
88.74 202.30
89.75 202.17
90.76 202.09
91.76 201.50
92.77 201.83
93.78 201.31
94.79 201.09
95.80 201.31
96.81 205.10
97.82 208.40
98.82 209.79
99.83 210.31
100.84 209.98
101.85 208.88
102.86 208.93
103.87 207.58
104.87 207.71
105.88 206.90
106.89 205.67
107.90 207.47
108.91 212.23
109.92 213.34
110.92 213.22
111.93 212.84
112.94 211.86
113.95 211.40
114.96 210.43
115.97 209.51
116.97 208.31
117.98 207.09
118.99 206.62
120.00 206.05
