# Time(ns)	Amplitude
0.00 200.27
1.01 199.84
2.02 200.07
3.03 199.98
4.03 200.04
5.04 200.18
6.05 199.81
7.06 199.95
8.07 200.01
9.08 200.07
10.08 200.01
11.09 199.83
12.10 200.14
13.11 200.30
14.12 199.79
15.13 199.57
16.13 204.01
17.14 207.76
18.15 209.18
19.16 209.49
20.17 209.05
21.18 209.04
22.18 207.78
23.19 207.70
24.20 206.65
25.21 205.82
26.22 208.16
27.23 209.90
28.24 210.59
29.24 209.67
30.25 209.81
31.26 208.93
32.27 208.47
33.28 207.66
34.29 206.92
35.29 206.29
36.30 205.46
37.31 205.27
38.32 204.71
39.33 204.28
40.34 203.44
41.34 205.16
42.35 205.80
43.36 206.13
44.37 206.17
45.38 205.28
46.39 205.71
47.39 204.50
48.40 203.75
49.41 203.31
50.42 203.60
51.43 203.66
52.44 202.72
53.45 202.47
54.45 202.42
55.46 201.93
56.47 201.63
57.48 201.83
58.49 201.70
59.50 201.48
60.50 201.11
61.51 200.98
62.52 201.46
63.53 200.91
64.54 200.29
65.55 200.92
66.55 200.58
67.56 201.09
68.57 200.56
69.58 202.01
70.59 203.27
71.60 203.89
72.61 204.17
73.61 203.98
74.62 203.31
75.63 203.17
76.64 203.57
77.65 202.59
78.66 202.48
79.66 202.60
80.67 202.05
81.68 202.50
82.69 201.43
83.70 201.81
84.71 201.25
85.71 201.83
86.72 201.69
87.73 201.20
88.74 201.04
89.75 201.18
90.76 201.35
91.76 200.73
92.77 200.51
93.78 200.48
94.79 200.68
95.80 203.48
96.81 208.60
97.82 211.00
98.82 211.61
99.83 211.22
100.84 211.11
101.85 210.25
102.86 209.13
103.87 208.26
104.87 207.83
105.88 207.01
106.89 205.98
107.90 205.64
108.91 204.24
109.92 205.05
110.92 204.07
111.93 203.29
112.94 203.87
113.95 203.12
114.96 202.62
115.97 202.66
116.97 201.83
117.98 202.65
118.99 201.52
120.00 201.02
