# Time(ns)	Amplitude
0.00 199.79
1.01 199.96
2.02 200.47
3.03 199.90
4.03 199.91
5.04 200.09
6.05 200.35
7.06 199.67
8.07 199.90
9.08 199.61
10.08 199.85
11.09 199.97
12.10 200.31
13.11 199.81
14.12 200.55
15.13 203.38
16.13 204.45
17.14 204.66
18.15 204.02
19.16 204.89
20.17 203.94
21.18 203.62
22.18 203.29
23.19 203.37
24.20 203.20
25.21 202.37
26.22 202.59
27.23 201.65
28.24 201.56
29.24 201.56
30.25 201.35
31.26 204.08
32.27 205.37
33.28 205.14
34.29 205.52
35.29 205.57
36.30 205.15
37.31 206.15
38.32 211.37
39.33 213.45
40.34 213.58
41.34 213.36
42.35 213.02
43.36 212.20
44.37 210.39
45.38 210.19
46.39 209.08
47.39 212.66
48.40 214.21
49.41 214.22
50.42 214.08
51.43 211.99
52.44 211.93
53.45 210.44
54.45 210.02
55.46 208.51
56.47 207.66
57.48 207.07
58.49 206.60
59.50 205.71
60.50 204.85
61.51 204.71
62.52 204.11
63.53 203.90
64.54 203.72
65.55 203.19
66.55 203.00
67.56 202.37
68.57 202.62
69.58 202.41
70.59 202.49
71.60 201.99
72.61 201.22
73.61 201.59
74.62 201.04
75.63 201.04
76.64 200.59
77.65 201.23
78.66 200.93
79.66 200.66
80.67 200.38
81.68 202.04
82.69 203.23
83.70 204.04
84.71 203.75
85.71 204.50
86.72 203.59
87.73 203.18
88.74 202.69
89.75 202.69
90.76 202.44
91.76 202.57
92.77 202.02
93.78 201.42
94.79 201.61
95.80 201.59
96.81 200.87
97.82 201.82
98.82 201.51
99.83 200.67
100.84 201.23
101.85 200.49
102.86 200.71
103.87 200.83
104.87 200.48
105.88 200.60
106.89 200.13
107.90 200.75
108.91 200.12
109.92 201.19
110.92 200.24
111.93 200.68
112.94 200.11
113.95 200.08
114.96 200.01
115.97 200.19
116.97 200.29
117.98 199.91
118.99 200.17
120.00 200.49
